intercepto,Confiança_consumidor,Desemprego,SELIC,IBC-Br,IPCA,Endividamento_das_familias
1,0.024095315587540966,7.36649887681714,0.741320195490173,0.003247321672490422,0.527917118028184,37.1112792486541
1,0.04045734582666327,7.44374168279807,0.734244881244419,0.012552560108180622,0.454032228916074,37.2594761820784
1,-0.01754723280286541,7.41283289476039,0.659889304997168,0.007148008850832888,0.285128285175055,37.4254635303807
1,0.010836020894622322,7.33252914742121,0.621403160395788,0.0017087340260815154,0.689960174680805,37.4836675379425
1,-0.029887457172555365,7.28006911610045,0.674988634287685,0.00298337599617593,0.656219119155638,37.5874458178183
1,-0.02263144511998849,7.2305679345638,0.533984242926116,-0.003984363828506865,0.673839134485114,37.4571666612252
1,-0.015585677456307678,7.14224758058274,0.576618662310107,0.008436633281488248,0.629468046011764,37.6835418267583
1,-0.01864231217216261,7.23945591469959,0.58274608806433,-0.001536417268367174,0.599177613140622,37.8416116469785
1,0.004575988660093344,7.43382953320602,0.544368043135606,-0.004432406184653459,0.564250756032349,38.0637723673452
1,-0.009409672984724615,7.48921878551654,0.579511611468311,0.008815809589387769,0.433306700760089,38.1432969924543
1,-0.008134403880255547,7.70514984117352,0.562363961222326,-0.012409334449656306,0.390876495348162,38.2778182169947
1,0.015457320846166134,7.49437910101269,0.539746290643161,0.010730918645359466,0.499164794122692,38.2686262886887
1,-0.008089675203721391,7.46350130742542,0.637424727314532,0.010730877287573826,0.461539057383227,38.4158080440003
1,-0.01168143931551402,7.35706065393763,0.596933821951885,0.0013944145429158894,0.449649669717707,38.4531666811905
1,-0.01934116891081672,7.3279914608953,0.624396827091945,-0.0032431391914613528,0.462064144601533,38.4099800167021
1,-0.03785394668150577,7.24022957029939,0.660721596163197,0.0037657263879271596,0.269871469169258,38.5090291786222
1,-0.031104327375127028,7.17920530495868,0.691628604559683,0.0025187892492422037,0.468909795720834,38.5681681035987
1,-0.008340708470993441,7.11210765353298,0.703130309448473,0.004707208779080041,0.474406405160054,38.4533137539124
1,-0.012295671891065396,7.02849301555207,0.770008314422186,-0.0002689538104734268,0.606169433660926,38.3545858985989
1,-0.01834340853106564,6.90571107788152,0.763386594364017,0.002749277985675036,0.532153573782776,38.3122116711864
1,-0.019529488734561617,6.67298864638373,0.780654426646917,0.0029813320562759316,0.705945522172114,38.2258306615794
1,-0.03935712894147514,6.75431743848496,0.823049167411263,0.0011919120370871283,0.135482973292746,38.2285795839078
1,-0.004982190899593064,6.7165586037753,0.907627854197374,-0.007376455006343541,0.488109040816963,38.2606696850891
1,-0.02983006707837177,6.76255463488675,0.750676887368393,-0.0010386675086451191,0.941902686062847,38.2506295721596
1,-0.02769170148864486,6.8082273030433,0.855831855032871,-0.004409190675383812,0.622586505845283,38.2670205440913
1,-0.03915547500849037,6.78500490259144,0.867514497441401,-0.0037585243220190634,0.508780159788133,38.3582455380117
1,-0.030383212159569517,6.76308585836956,0.832301893679172,-0.02145760626731441,0.604320656195648,38.5004345070463
1,0.037549977206143836,6.86059343237905,0.877699830745214,0.008048319385404845,0.217984394234551,38.5204412502806
1,0.004757269036776535,6.97713526208984,0.839752149357369,0.008009001834700769,0.451801596805023,38.5184431024821
1,0.03981055199706951,6.8951990676166,0.906161197363655,0.005772507529233195,0.719022606801499,38.6945830921255
1,-0.05200172287704419,6.9194199346175,0.910597713606406,-0.008759446058426157,0.443125470486963,38.9400486291644
1,-0.00957801090324839,6.98474189439391,0.891875843657514,0.001655748449499228,0.497550127352927,38.8815541482152
1,-0.0372918528884334,7.0842490367613,0.948870717056105,0.004340267175114931,0.582414200915757,39.2478224178717
1,-0.011412006140200326,7.14774653719472,0.913058578944005,-0.009149767458706215,0.857458277316777,39.5624231014052
1,-0.03607997604016688,7.39893188683821,0.941714396297166,-0.004288961483620568,1.02641111794508,39.6551470972654
1,-0.0027772896543716286,7.53514834602244,1.00658096624378,-0.002881668119991687,1.34813016581129,39.8212275936543
1,-0.03372850925661641,7.68069896224182,0.987504000992089,-0.014169716049170056,0.700444230452062,40.1405875338063
1,-0.04694937609738137,7.95847518170126,0.985856027598694,-0.006376618052899019,0.746340800100172,40.0796262084028
1,-0.018853075375161232,8.25395979755692,1.07763158760741,-0.009277757141389564,1.00170704109341,40.1120597161833
1,-0.05791514364673134,8.46755848240784,1.10160136626274,-0.01193166369858556,0.769536981152911,40.3625899626221
1,-0.0024420146092172246,8.77841393532789,1.05694052683271,0.004988632699758355,0.402795368776687,40.4803695174418
1,-0.018268885054931516,9.11863621444028,1.11740354762182,-0.007357055693236525,0.702944201905986,40.7829027667426
1,0.018647615518435856,9.38845589744395,1.07239213218065,0.0034466416419878243,0.817282059509733,40.8056466242032
1,-0.0519996199046,9.58041505794944,1.12683123990968,-0.009520992022430619,0.998505082761468,40.444536488476
1,0.001458516043419067,9.7214119464919,1.1526931281839,-0.0038325170151027876,0.801139498577726,40.0363956518709
1,0.0063347268696078984,9.90058852331219,1.03213825786001,-0.0057584458374364544,0.945172850034911,39.9660721048381
1,0.0346308904202246,10.1548781102243,1.144215394429,0.0008623794719859745,0.714132815327069,39.6996661855191
1,-0.013938740593871124,10.3870467423577,1.11378416059051,-0.006882326939728678,0.432099781357207,39.593971167752
1,0.00015029087184004197,10.7453416845389,1.09368829689717,-0.00027752665154157086,0.624885885321467,39.367269733388
1,0.08767878841977872,10.973259444885,1.10020322547236,-0.0027056384862103044,0.768621613986341,39.2218540989245
1,0.08187733135410102,11.2296262795123,1.16537015292592,0.002503955522533019,0.574523632318707,39.0625592887187
1,-0.0010241490125482144,11.569398803308,1.0468202507777,-0.0037170922747193913,0.614767181280832,38.8546206966084
1,0.018457327723774064,11.8892956865641,1.1482465869273,-0.0030827588067419143,0.604553317279636,38.6701880017421
1,0.04657006132710073,12.0732282929968,1.13151729369741,0.0016351814780115603,0.259698976636425,38.4943778419109
1,-0.02217084595114649,12.2836513919465,1.0186282147008,-0.004726614005507557,0.226790204426838,38.2144673742367
1,0.01936566592598421,12.5799465630583,1.1070508053857,-0.0003024403500813122,0.136451848580388,38.1199977320384
1,-0.022707863190058575,12.8491665417705,1.12645799853454,-0.0035707838308551842,0.165855076733378,38.0684500638801
1,-0.0984601498013804,13.0120238404052,1.05997825149013,0.0031487610699576507,0.125042699057824,37.9119329558231
1,0.07799335720876321,13.0981471250806,0.989151966760553,0.016707160865695236,0.161618824950988,37.8431322768778
1,0.012485301367221702,13.1559619719041,1.00032451971271,-0.0012049698235463424,0.23784272960781,37.8265918353272
1,0.018378328468686256,13.0900847301585,0.806970400259073,0.0010228634975755213,0.174909523676441,37.5330690393516
1,-0.005895352326508174,13.0255124972151,0.916440743870283,-0.0046721021737043955,0.319497558184042,37.4524974600799
1,-0.01376950600895821,12.9201979112233,0.81466993522987,0.00856688469925615,-0.00890150501944573,37.3629759797291
1,0.039254793022877266,12.8140486139451,0.765209988712846,0.00046559000741552836,0.276906298851971,37.4185864900776
1,-0.03805203044185568,12.7098101807936,0.746018610695596,-0.003352703791300371,0.346664863414885,37.3785829103237
1,-0.034427065638396925,12.6601060250842,0.659827583096083,0.0005833455336965443,0.331012750158504,37.307101243271
